,Date,RealOpen,RealHigh,RealLow,RealClose,RealAdjClose,3DaySentiment,PredictedOpen,PredictedHigh,PredictedLow,PredictedClose,PredictedAdjClose
3,2021-06-07,3197.330078125,3208.0,3172.199951171875,3198.010009765625,3198.010009765625,0.55135,3196.27,3222.69,3173.1,3176.23,3176.23
4,2021-06-08,3222.610107421875,3279.530029296875,3218.010009765625,3264.110107421875,3264.110107421875,0.95075,3188.31,3219.09,3170.37,3185.65,3185.65
5,2021-06-09,3272.8701171875,3297.580078125,3270.699951171875,3281.14990234375,3281.14990234375,0.9655,3266.79,3271.95,3226.09,3252.07,3252.07
6,2021-06-10,3282.010009765625,3351.0,3281.14990234375,3349.64990234375,3349.64990234375,0.1383,3275.82,3293.94,3239.44,3258.43,3258.43
7,2021-06-11,3349.64990234375,3366.580078125,3333.449951171875,3346.830078125,3346.830078125,0.8048000000000001,3353.73,3397.24,3315.35,3358.52,3358.52
8,2021-06-14,3346.830078125,3385.0,3335.5,3383.8701171875,3383.8701171875,0.8955666666666667,3386.99,3408.93,3353.77,3333.46,3333.46
9,2021-06-15,3384.0,3396.989990234375,3363.110107421875,3383.1298828125,3383.1298828125,0.9073,3429.89,3429.71,3329.38,3358.7,3358.7
10,2021-06-16,3392.0,3426.35009765625,3360.530029296875,3415.25,3415.25,0.6197666666666667,3381.69,3415.21,3351.11,3348.38,3348.38
11,2021-06-17,3403.179931640625,3497.199951171875,3401.0,3489.239990234375,3489.239990234375,0.72805,3384.39,3417.02,3303.89,3348.95,3348.95
12,2021-06-18,3479.989990234375,3507.0,3473.7099609375,3486.89990234375,3486.89990234375,0.73405,3386.69,3397.95,3341.76,3359.61,3359.61
13,2021-06-21,3476.419921875,3482.0,3434.0,3453.9599609375,3453.9599609375,0.7935,3454.86,3450.15,3381.8,3378.38,3378.38
14,2021-06-22,3458.06005859375,3523.780029296875,3456.090087890625,3505.43994140625,3505.43994140625,0.44245,3395.15,3436.04,3373.43,3402.34,3402.34
15,2021-06-23,3505.0,3521.0,3483.199951171875,3503.820068359375,3503.820068359375,0.86692,3437.62,3481.07,3386.09,3406.87,3406.87
16,2021-06-24,3507.639892578125,3524.860107421875,3430.85009765625,3449.080078125,3449.080078125,0.4711625,3397.52,3420.8,3342.0,3356.51,3356.51
17,2021-06-25,3464.0,3464.820068359375,3394.179931640625,3401.4599609375,3401.4599609375,0.7917749999999999,3476.46,3483.03,3410.25,3450.16,3450.16
18,2021-06-28,3416.0,3448.0,3413.510009765625,3443.889892578125,3443.889892578125,0.6582,3466.95,3485.22,3438.81,3428.53,3428.53
19,2021-06-29,3438.820068359375,3456.030029296875,3423.030029296875,3448.139892578125,3448.139892578125,0.9717666666666668,3441.18,3455.38,3403.56,3423.21,3423.21
