Date,Open,High,Low,Close,Adj Close,RealDate
1,0.1283479928970337,0.1289059966802597,0.1283479928970337,0.1283479928970337,0.1004534512758255,1980-12-12
2,0.12221000343561172,0.12221000343561172,0.12165199965238571,0.12165199965238571,0.09521270543336868,1980-12-15
3,0.1132809966802597,0.1132809966802597,0.11272300034761429,0.11272300034761429,0.08822430670261383,1980-12-16
4,0.11551299691200256,0.11607100069522858,0.11551299691200256,0.11551299691200256,0.09040793031454086,1980-12-17
5,0.11886200308799744,0.11941999942064285,0.11886200308799744,0.11886200308799744,0.09302911907434464,1980-12-18
6,0.12611599266529083,0.12667399644851685,0.12611599266529083,0.12611599266529083,0.09870655089616776,1980-12-19
7,0.1322540044784546,0.1328130066394806,0.1322540044784546,0.1322540044784546,0.10351058095693588,1980-12-22
8,0.13783499598503113,0.13839299976825714,0.13783499598503113,0.13783499598503113,0.10787855088710785,1980-12-23
9,0.14508900046348572,0.14564700424671173,0.14508900046348572,0.14508900046348572,0.11355607956647873,1980-12-24
10,0.15848200023174286,0.15904000401496887,0.15848200023174286,0.15848200023174286,0.12403831630945206,1980-12-26
11,0.16071400046348572,0.16127200424671173,0.16071400046348572,0.16071400046348572,0.1257852166891098,1980-12-29
12,0.15736599266529083,0.15736599266529083,0.156808003783226,0.156808003783226,0.1227281466126442,1980-12-30
13,0.1529020071029663,0.1529020071029663,0.1523440033197403,0.1523440033197403,0.11923430114984512,1980-12-31
14,0.15401799976825714,0.15513400733470917,0.15401799976825714,0.15401799976825714,0.1205444410443306,1981-01-02
15,0.15122799575328827,0.15122799575328827,0.15067000687122345,0.15067000687122345,0.11792413145303726,1981-01-05
16,0.1445309966802597,0.1445309966802597,0.1439729928970337,0.1439729928970337,0.11268256604671478,1981-01-06
17,0.13839299976825714,0.13839299976825714,0.13783499598503113,0.13783499598503113,0.10787855088710785,1981-01-07
18,0.13560299575328827,0.13560299575328827,0.13504500687122345,0.13504500687122345,0.1056949645280838,1981-01-08
19,0.14229899644851685,0.14285700023174286,0.14229899644851685,0.14229899644851685,0.1113724559545517,1981-01-09
20,0.14229899644851685,0.14229899644851685,0.141183003783226,0.141183003783226,0.11049897968769073,1981-01-12
21,0.1367190033197403,0.1367190033197403,0.13616099953651428,0.13616099953651428,0.10656844824552536,1981-01-13
22,0.1367190033197403,0.1372770071029663,0.1367190033197403,0.1367190033197403,0.10700516402721405,1981-01-14
23,0.13950900733470917,0.140625,0.13950900733470917,0.13950900733470917,0.10918883234262466,1981-01-15
24,0.13895100355148315,0.13895100355148315,0.13839299976825714,0.13839299976825714,0.1083153486251831,1981-01-16
25,0.14676299691200256,0.14732100069522858,0.14676299691200256,0.14676299691200256,0.114866241812706,1981-01-19
26,0.14285700023174286,0.14285700023174286,0.14229899644851685,0.14229899644851685,0.1113724559545517,1981-01-20
27,0.14508900046348572,0.14620499312877655,0.14508900046348572,0.14508900046348572,0.11355607956647873,1981-01-21
28,0.14676299691200256,0.1478790044784546,0.14676299691200256,0.14676299691200256,0.114866241812706,1981-01-22
29,0.14676299691200256,0.14732100069522858,0.14620499312877655,0.14620499312877655,0.1144295185804367,1981-01-23
30,0.1445309966802597,0.1445309966802597,0.1439729928970337,0.1439729928970337,0.11268256604671478,1981-01-26
31,0.1439729928970337,0.1439729928970337,0.14285700023174286,0.14285700023174286,0.1118091568350792,1981-01-27
32,0.13895100355148315,0.13895100355148315,0.13839299976825714,0.13839299976825714,0.1083153486251831,1981-01-28
33,0.13392899930477142,0.13392899930477142,0.1333709955215454,0.1333709955215454,0.10438476502895355,1981-01-29
34,0.12723200023174286,0.12723200023174286,0.12611599266529083,0.12611599266529083,0.09870655089616776,1981-01-30
35,0.11941999942064285,0.11941999942064285,0.11886200308799744,0.11886200308799744,0.09302911907434464,1981-02-02
36,0.12332600355148315,0.12388399988412857,0.12332600355148315,0.12332600355148315,0.09652293473482132,1981-02-03
37,0.12779000401496887,0.1283479928970337,0.12779000401496887,0.12779000401496887,0.10001673549413681,1981-02-04
38,0.12779000401496887,0.1289059966802597,0.12779000401496887,0.12779000401496887,0.10001673549413681,1981-02-05
39,0.1283479928970337,0.1289059966802597,0.1283479928970337,0.1283479928970337,0.1004534512758255,1981-02-06
40,0.12276799976825714,0.12276799976825714,0.12165199965238571,0.12165199965238571,0.09521270543336868,1981-02-09
41,0.12165199965238571,0.12221000343561172,0.12165199965238571,0.12165199965238571,0.09521270543336868,1981-02-10
42,0.11830399930477142,0.11830399930477142,0.11774600297212601,0.11774600297212601,0.09215567260980606,1981-02-11
43,0.1171879991889,0.1171879991889,0.11662899702787399,0.11662899702787399,0.09128139168024063,1981-02-12
44,0.11495500057935715,0.11495500057935715,0.11383900046348572,0.11383900046348572,0.0890977680683136,1981-02-13
45,0.11662899702787399,0.1171879991889,0.11662899702787399,0.11662899702787399,0.09128139168024063,1981-02-17
46,0.12165199965238571,0.12276799976825714,0.12165199965238571,0.12165199965238571,0.09521270543336868,1981-02-18
47,0.11495500057935715,0.11495500057935715,0.11439699679613113,0.11439699679613113,0.08953449130058289,1981-02-19
